h_country,nameOfAggr,year,quarter,subGroup,subGroupVal,C_Value,h_name,QI,YQ,isAngelKPI,aggFunc,Value,data_Pts,data_missing,isKPI,pct_missing,isYearAgg,isCountryAgg,qual4Stroke Ready,qual4Diamond,qual4Platinum,qual4Gold,qual4NA,MedianGeg_C,diffFromC,CSoAboveCountry,CSoAboveDiamond,CSoAbovePlatinum,CSoAboveGold,is1stgeqC,is1stGold,is1stPlat,is1stDiam
Far away,NA,2016,Q1,NA,NA,NA,General,discharge_any_anticoagulant,2016 Q1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2016,Q1,NA,NA,NA,General,discharge_any_antiplatelet,2016 Q1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2016,Q1,NA,NA,NA,General,door_to_groin,2016 Q1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2016,Q1,NA,NA,NA,General,door_to_needle,2016 Q1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2016,Q4,NA,NA,NA,General,discharge_any_anticoagulant,2016 Q4,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2016,Q4,NA,NA,NA,General,discharge_any_antiplatelet,2016 Q4,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2016,Q4,NA,NA,NA,General,door_to_groin,2016 Q4,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2016,Q4,NA,NA,NA,General,door_to_needle,2016 Q4,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2016,all,NA,NA,NA,General,discharge_any_anticoagulant,2016,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2016,all,NA,NA,NA,General,discharge_any_antiplatelet,2016,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2016,all,NA,NA,NA,General,door_to_groin,2016,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2016,all,NA,NA,NA,General,door_to_needle,2016,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2017,Q1,NA,NA,NA,General,discharge_any_anticoagulant,2017 Q1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2017,Q1,NA,NA,NA,General,discharge_any_antiplatelet,2017 Q1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2017,Q1,NA,NA,NA,General,door_to_groin,2017 Q1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2017,Q1,NA,NA,NA,General,door_to_needle,2017 Q1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2017,Q2,NA,NA,NA,General,discharge_any_anticoagulant,2017 Q2,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2017,Q2,NA,NA,NA,General,discharge_any_antiplatelet,2017 Q2,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2017,Q2,NA,NA,NA,General,door_to_groin,2017 Q2,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2017,Q2,NA,NA,NA,General,door_to_needle,2017 Q2,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2017,Q3,NA,NA,NA,General,discharge_any_anticoagulant,2017 Q3,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2017,Q3,NA,NA,NA,General,discharge_any_antiplatelet,2017 Q3,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2017,Q3,NA,NA,NA,General,door_to_groin,2017 Q3,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2017,Q3,NA,NA,NA,General,door_to_needle,2017 Q3,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
Far away,NA,2017,Q4,NA,NA,NA,General,discharge_any_anticoagulant,2017 Q4,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
